question,answer,topic
What time is check-in available?,Standard check-in usually starts in the afternoon around 2:00 PM but the exact time depends on the hotel policy.,Hotel
What time is check-out?,Most hotels ask guests to check out by late morning around 11:00 AM unless late checkout is arranged.,Hotel
Do you offer free Wi-Fi?,Yes. Free Wi-Fi is commonly available in guest rooms and public areas, but you can confirm the speed and coverage at reception.,Hotel
Is breakfast included?,Some room packages include breakfast while others do not. The front desk can confirm the meal plan attached to your booking.,Hotel
Do you have parking?,Many hotels provide parking for guests. Availability may be free or paid depending on the property and room package.,Hotel
Can I book a room online?,Yes. Rooms can usually be booked on the website, by phone, or through the front desk if you prefer direct assistance.,Hotel
What room types are available?,Common room types include single rooms, double rooms, deluxe rooms, family rooms, and suites depending on availability.,Hotel
Do you have a swimming pool?,Many hotels offer a pool, gym, and other leisure facilities, but you should check the property page for the exact amenities.,Hotel
Is late checkout possible?,Late checkout is sometimes available on request and may depend on occupancy. Extra charges can apply.,Hotel
What is your cancellation policy?,Cancellation rules depend on the booking type. Flexible rates usually allow changes while non-refundable rates have stricter terms.,Hotel
Do you allow pets?,Pet policy varies by hotel. Some properties allow pets with a deposit or fee, while others do not allow them at all.,Hotel
Do you provide airport pickup?,Some hotels offer airport transfers or shuttle service. This service is often arranged in advance and may cost extra.,Hotel
Can I pay by card?,Most hotels accept debit cards, credit cards, and sometimes digital payments, but cash policies can differ by property.,Hotel
Do you have family rooms?,Yes. Family rooms or interconnected rooms may be available for guests traveling with children or larger groups.,Hotel
